date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:06	62/62	---M--	200	added ('OK')	text/plain	etag:%2266f025d9-3e%22	https://nathanserror.com/robots.txt		(from )
21:42:06	78377/78377	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-13229%22	https://nathanserror.com/	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/index.html	(from )
21:42:06	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://nathanserror.com/)
21:42:07	46703/46703	---M--	200	added ('OK')	image/png	etag:%2266f025d9-b66f%22	https://nathanserror.com/portfolio/icon-portfolio.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/icon-portfolio.png	(from https://nathanserror.com/)
21:42:07	3062/3062	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-bf6%22	https://nathanserror.com/icofont/icofont.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/icofont/icofont.min.css	(from https://nathanserror.com/)
21:42:07	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-705d%22	https://nathanserror.com/assets/vendor/aos/aos.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/aos/aos.css	(from https://nathanserror.com/)
21:42:07	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-38dd2%22	https://nathanserror.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://nathanserror.com/)
21:42:07	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-16e26%22	https://nathanserror.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://nathanserror.com/)
21:42:08	68028/68028	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d8-109bc%22	https://nathanserror.com/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://nathanserror.com/)
21:42:08	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-35b5%22	https://nathanserror.com/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://nathanserror.com/)
21:42:08	16238/16238	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d8-3f6e%22	https://nathanserror.com/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://nathanserror.com/)
21:42:09	29957/29957	---M-Z	200	added ('OK')	text/css	etag:W/%2266f025d9-7505%22	https://nathanserror.com/portfolio/css/portfolio.css	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/css/portfolio.css	(from https://nathanserror.com/)
21:42:09	5232/5232	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266f025d9-1470%22	https://nathanserror.com/portfolio/js/main.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/js/main.js	(from https://nathanserror.com/)
21:42:09	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://nathanserror.com/)
21:42:09	165/165	---M--	200	added ('OK')	application/javascript	etag:%2266f025d9-a5%22	https://nathanserror.com/portfolio/js/flip-box.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/js/flip-box.js	(from https://nathanserror.com/)
21:42:10	2822/2822	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266f025d9-b06%22	https://nathanserror.com/particles.js-master/app.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/particles.js-master/app.js	(from https://nathanserror.com/)
21:42:10	693/693	---M-Z	200	added ('OK')	application/json	etag:W/%2266f025d9-2b5%22	https://nathanserror.com/particles.js-master/package.json	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/particles.js-master/package.json	(from https://nathanserror.com/)
21:42:11	43009/43009	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266f025d9-a801%22	https://nathanserror.com/particles.js-master/particles.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/particles.js-master/particles.js	(from https://nathanserror.com/)
21:42:11	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266f025d9-5b44%22	https://nathanserror.com/particles.js-master/particles.min.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/particles.js-master/particles.min.js	(from https://nathanserror.com/)
21:42:11	2137/2137	---M-Z	200	added ('OK')	application/json	etag:W/%2266f025d9-859%22	https://nathanserror.com/particles.js-master/particles.json	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/particles.js-master/particles.json	(from https://nathanserror.com/)
21:42:11	20122/20122	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e9a-hx1u8QcL02PqOQ4MjDhOR9zn84k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	(from https://nathanserror.com/)
21:42:12	60348/60348	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ebbc-eYt9mlXdWeACqHMf5wW3NFgafH0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.min.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.min.js	(from https://nathanserror.com/)
21:42:12	80421/80421	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://nathanserror.com/)
21:42:12	1758/1758	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-6de%22	https://nathanserror.com/login.html	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/login.html	(from https://nathanserror.com/)
21:42:13	310730/310730	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ae9773-4bdca%22	https://moment.github.io/luxon/global/luxon.js	C:/Users/nabil/OneDrive/Desktop/original/jeudi/moment.github.io/luxon/global/luxon.js	(from https://nathanserror.com/)
21:42:13	78377/78377	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-13229%22	https://nathanserror.com/index.html	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/index-2.html	(from https://nathanserror.com/)
21:42:14	15103/15103	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-3aff%22	https://nathanserror.com/projets/epreuve-E4.html	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/projets/epreuve-E4.html	(from https://nathanserror.com/)
21:42:14	15188/15188	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-3b54%22	https://nathanserror.com/projets/epreuve-E5.html	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/projets/epreuve-E5.html	(from https://nathanserror.com/)
21:42:15	2806/2806	---M--	200	added ('OK')	image/png	etag:%2269de8d56a8845fcd5d6a0c65dc2b8c52%22	https://cdn-icons-png.flaticon.com/512/2985/2985150.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/cdn-icons-png.flaticon.com/512/2985/2985150.png	(from https://nathanserror.com/)
21:42:18	2613373/2613373	---M--	200	added ('OK')	image/png	etag:%2266f025d9-27e07d%22	https://nathanserror.com/portfolio/img/home%20page/background-home.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/home%20page/background-home.png	(from https://nathanserror.com/)
21:42:18	366773/366773	---M--	200	added ('OK')	application/pdf	etag:%2266f025d9-598b5%22	https://nathanserror.com/portfolio/docs/CV%20Nathan%20SERROR.pdf	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/docs/CV%20Nathan%20SERROR.pdf	(from https://nathanserror.com/)
21:42:18	115185/115185	---M-Z	200	added ('OK')	text/html	etag:W/%2266f025d9-1c1f1%22	https://nathanserror.com/stage/stage.html	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/stage/stage.html	(from https://nathanserror.com/)
21:42:19	74031/74031	---M--	200	added ('OK')	image/png	etag:%2266f025d9-1212f%22	https://nathanserror.com/portfolio/img/logo/logo-foliateam2.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/logo/logo-foliateam2.png	(from https://nathanserror.com/)
21:42:19	108806/108806	---M--	200	added ('OK')	image/png	etag:%2266f025d9-1a906%22	https://nathanserror.com/portfolio/img/background/background.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/background/background.png	(from https://nathanserror.com/)
21:42:19	167045/167045	---M--	200	added ('OK')	image/png	etag:%2266f025d9-28c85%22	https://nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX-cut.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX-cut.png	(from https://nathanserror.com/)
21:42:19	135210/135210	---M--	200	added ('OK')	image/png	etag:%2266f025d9-2102a%22	https://nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.png	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.png	(from https://nathanserror.com/)
21:42:21	690808/690808	---M--	200	added ('OK')	image/jpeg	etag:%2266f025d9-a8a78%22	https://nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.jpg	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.jpg	(from https://nathanserror.com/)
21:42:21	1102255/1102255	---M--	200	added ('OK')	application/pdf	etag:%2266f025d9-10d1af%22	https://nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.pdf	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certification-PIX.pdf	(from https://nathanserror.com/)
21:42:21	221161/221161	---M--	200	added ('OK')	application/pdf	etag:%2266f025d9-35fe9%22	https://nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.pdf	C:/Users/nabil/OneDrive/Desktop/original/jeudi/nathanserror.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MRT-LINUX-CERTIFICATE.pdf	(from https://nathanserror.com/)
